Benchmark,Cache25% Flat75% Hitrate,Cache50% Flat50% Hitrate,Cache75% Flat25% Hitrate,Cache25% Flat75% Speedup_over_hybrid2,Cache50% Flat50% Speedup_over_hybrid2,Cache75% Flat25% Speedup_over_hybrid2
500.perlbench_r,,,,,,
502.gcc_r,,,,,,
503.bwaves_r,0.669295,0.669731,0.671349,0.99517,1.000208,1.000419
505.mcf_r,,,,,,
507.cactuBSSN_r,0.908667,0.903615,0.902636,1.074183,1.054743,1.051119
508.namd_r,,,,,,
510.parest_r,,,,,,
511.povray_r,,,,,,
519.lbm_r,,,,,,
520.omnetpp_r,,,,,,
521.wrf_r,,,,,,
523.xalancbmk_r,,,,,,
525.x264_r,,,,,,
526.blender_r,,,,,,
527.cam4_r,,,,,,
531.deepsjeng_r,,,,,,
538.imagick_r,,,,,,
541.leela_r,,,,,,
544.nab_r,,,,,,
548.exchange2_r,,,,,,
549.fotonik3d_r,0.835308,0.772445,0.766805,1.20339,1.098259,1.098684
554.roms_r,,,,,,
557.xz_r,,,,,,
mix1,2747,3008,3012,1,0.913231383,0.912018592
mix2,3117,3185,3190,1,0.978649922,0.977115988
mix3,3656,3723,3714,1,0.98200376,0.984383414
mix4,6127,6127,6140,1,1,0.997882736
PageRank.ljournal,,,,,,
Bellmanford.ljournal,,,,,,
Freqmine,,,,,,
Dedup,,,,,,
Fluidaminate,,,,,,
Low MPKI Geomean,0.669295,0.669731,0.671349,1,1.005062452,1.005274476
Medium MPKI Geomean,0.908667,0.903615,0.902636,1,0.981902525,0.978528798
High MPKI Geomean,0.835308,0.772445,0.766805,1,0.912637632,0.912990801
