Benchmark,SlowSwap Speedup,FastSwap Speedup
500.perlbench_r,,
502.gcc_r,,
503.bwaves_r,2389,2388
505.mcf_r,,
507.cactuBSSN_r,7080,6622
508.namd_r,,
510.parest_r,,
511.povray_r,,
519.lbm_r,,
520.omnetpp_r,,
521.wrf_r,,
523.xalancbmk_r,,
525.x264_r,,
526.blender_r,,
527.cam4_r,,
531.deepsjeng_r,,
538.imagick_r,,
541.leela_r,,
544.nab_r,,
548.exchange2_r,,
549.fotonik3d_r,6561,5857
554.roms_r,,
557.xz_r,,
Mix1=8high,,
Mix2=6high+2medium,,
Mix3=4h4m,,
Mix4=2h6m,,
PageRank.ljournal,,
Bellmanford.ljournal,,
Freqmine,,
Dedup,,
Fluidaminate,,
