Benchmark,OnlyIntraEvict Hitrate,Baryon Hitrate,OnlyIntraEvict Period,Baryon Period,Slowdown
500.perlbench_r,,,,,
502.gcc_r,,,,,
503.bwaves_r,,,,,
505.mcf_r,,,,,
507.cactuBSSN_r,,,,,
508.namd_r,,,,,
510.parest_r,,,,,
511.povray_r,,,,,
519.lbm_r,,,,,
520.omnetpp_r,,,,,
521.wrf_r,,,,,
523.xalancbmk_r,,,,,
525.x264_r,,,,,
526.blender_r,,,,,
527.cam4_r,,,,,
531.deepsjeng_r,,,,,
538.imagick_r,,,,,
541.leela_r,,,,,
544.nab_r,,,,,
548.exchange2_r,,,,,
549.fotonik3d_r,,,,,
554.roms_r,,,,,
557.xz_r,,,,,
mix1,0.72,0.92,2854,2243,0.785914506
mix2,0.72,0.92,3135,2318,0.739393939
mix3,0.67,0.91,3535,3132,0.885997171
mix4,0.8,0.94,5770,5351,0.927383016
PageRank.ljournal,,,,,
Bellmanford.ljournal,,,,,
Freqmine,,,,,
Dedup,,,,,
Fluidaminate,,,,,
