Benchmark,LLC Loads,LLC load misses,Instructions,MPKI,LLC Hitrate,MPKI Level
500.perlbench_r,"4,990,297,615","84,056,045","10,129,998,404,304",0.008297735,0.983156106,Low
502.gcc_r,"10,442,573,926",3038553712,"1,734,270,159,194",1.752064807,0.709022533,High
503.bwaves_r,"1,127,441,645","1,011,650,175","7,786,283,946,708",0.129927213,0.10270285,Low
505.mcf_r,"123,152,854,086","44,022,141,523","7,801,926,855,431",5.642470423,0.642540631,High
507.cactuBSSN_r,"48,692,840,601","16,642,638,141","12,103,546,599,479",1.375021611,0.658211804,Medium
508.namd_r,,,,,,Low
510.parest_r,"34,754,012,208","1,418,277,427","30,731,824,881,666",0.046150121,0.959190973,Medium
511.povray_r,,,,,,Low
519.lbm_r,"751,054,552","493,832,064","11,192,040,463,035",0.044123506,0.342481764,High
520.omnetpp_r,"12,871,330,023","3,613,491,246","1,235,874,574,720",2.923833308,0.719260462,High
521.wrf_r,,,,,,Low
523.xalancbmk_r,"23,965,218,619","2,051,639,643","10,888,518,349,232",0.188422297,0.914390948,Low
525.x264_r,"408,212,940","273,248,503","3,468,153,451,045",0.078787893,0.330622633,Low
526.blender_r,"13,596,857,440","4,090,914,841","14,540,523,271,779",0.281345779,0.699127916,Low
527.cam4_r,"18,107,635,902","3,247,910,076","18,490,219,338,897",0.175655573,0.820633124,Medium
531.deepsjeng_r,"5,570,180,378","4,111,463,241","13,794,387,501,181",0.298053338,0.261879695,Low
538.imagick_r,,,,,,Low
541.leela_r,,,,,,Low
544.nab_r,,,,,,Low
548.exchange2_r,"7,117,424","3,664,090","17,020,620,515,691",0.000215274,0.485194363,Low
549.fotonik3d_r,"57,135,051,078","49,864,659,701","16,581,141,874,618",3.007311564,0.127249232,High
554.roms_r,"17,764,035,608","9,189,949,848","20,839,763,422,344",0.440981486,0.482665423,High
557.xz_r,"13,818,931,729","2,923,713,125","2,901,136,819,488",1.007781882,0.78842698,High
Mix1=8high,,,,,,
Mix2=6high+2medium,,,,,,
Mix3=4h4m,,,,,,
Mix4=2h6m,,,,,,
PageRank.ljournal,"17,885,176,560","9,300,184,214","532,112,444,384",17.47785513,0.480006016,
Bellmanford.ljournal,"68,594,472","35,512,700","48,636,927,851",0.730159193,0.482280438,
Freqmine,,,,,,
Dedup,,,,,,
Fluidaminate,,,,,,
